,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,ori,region_desc,region_name,state_abbr,state_name
12102,Highland Police Department,City,HIGHLAND,East North Central,39.184488,-83.603668,0.0,OH0360500,Region II,Midwest,OH,Ohio
12103,Xenia Police Department,City,GREENE,East North Central,39.68649,-83.92961,1.0,OH0290300,Region II,Midwest,OH,Ohio
12104,Lancaster Police Department,City,FAIRFIELD,East North Central,39.730156,-82.60232,1.0,OH0230100,Region II,Midwest,OH,Ohio
12105,Syracuse Police Department,City,MEIGS,East North Central,39.089807,-82.028397,0.0,OH0530500,Region II,Midwest,OH,Ohio
12106,Cincinnati Police Department,City,HAMILTON,East North Central,39.103947,-84.518715,1.0,OHCIP0000,Region II,Midwest,OH,Ohio
12107,Amberley Village Police Department,City,HAMILTON,East North Central,39.196927,-84.544187,0.0,OH0310200,Region II,Midwest,OH,Ohio
12108,Flushing Police Department,City,BELMONT,East North Central,40.017682,-80.967727,1.0,OH0071100,Region II,Midwest,OH,Ohio
12109,Westfield Center Police Department,City,MEDINA,East North Central,41.116051,-81.899566,0.0,OH0520700,Region II,Midwest,OH,Ohio
12110,Sandusky Police Department,City,ERIE,East North Central,41.458973,-82.70206,1.0,OH0220300,Region II,Midwest,OH,Ohio
12111,Risingsun Police Department,City,WOOD,East North Central,41.360183,-83.622682,0.0,OH0872100,Region II,Midwest,OH,Ohio
12112,New London Police Department,City,HURON,East North Central,41.14508,-82.594641,0.0,OH0390100,Region II,Midwest,OH,Ohio
12113,Utica Police Department,City,KNOX; LICKING,East North Central,40.093609,-82.481251,1.0,OH0451300,Region II,Midwest,OH,Ohio
12114,Brecksville Police Department,City,CUYAHOGA,East North Central,41.31871,-81.62683,1.0,OH0180800,Region II,Midwest,OH,Ohio
12115,Mentor Police Department,City,LAKE,East North Central,41.924116,-81.392643,1.0,OH0430600,Region II,Midwest,OH,Ohio
12116,Clearcreek Township Police Department,City,WARREN,East North Central,39.54641,-84.194954,1.0,OH0831600,Region II,Midwest,OH,Ohio
12117,Sunbury Police Department,City,DELAWARE,East North Central,40.278941,-83.007462,1.0,OH0210700,Region II,Midwest,OH,Ohio
12118,New Waterford Police Department,City,COLUMBIANA,East North Central,40.845554,-80.61393,1.0,OH0151000,Region II,Midwest,OH,Ohio
12119,Midvale Police Department,City,TUSCARAWAS,East North Central,40.447441,-81.471157,0.0,OH0791100,Region II,Midwest,OH,Ohio
12120,Frazeysburg Police Department,City,MUSKINGUM,East North Central,39.966046,-81.943506,1.0,OH0600400,Region II,Midwest,OH,Ohio
12121,New Albany Police Department,City,LICKING; FRANKLIN,East North Central,39.969575,-83.006863,1.0,OH0252100,Region II,Midwest,OH,Ohio
12122,Fairlawn Police Department,City,SUMMIT,East North Central,41.13564,-81.62626,0.0,OH0770400,Region II,Midwest,OH,Ohio
12123,Brown County Sheriff's Office,County,BROWN,East North Central,38.875282,-83.90146,1.0,OH0080000,Region II,Midwest,OH,Ohio
12124,Donnelsville Police Department,City,CLARK,East North Central,39.917032,-83.783676,0.0,OH0120500,Region II,Midwest,OH,Ohio
12125,Hartville Police Department,City,STARK,East North Central,40.96438,-81.332245,0.0,OH0760600,Region II,Midwest,OH,Ohio
12126,Fairborn Police Department,City,GREENE,East North Central,39.827732,-84.02359,1.0,OH0290100,Region II,Midwest,OH,Ohio
12127,Edison Police Department,City,MORROW,East North Central,40.557823,-82.862595,0.0,OH0590400,Region II,Midwest,OH,Ohio
12128,Springdale Police Department,City,HAMILTON,East North Central,39.196927,-84.544187,1.0,OH0313300,Region II,Midwest,OH,Ohio
12129,"Goshen Township Police Department, Clermont County",City,CLERMONT,East North Central,39.23047,-84.15801,1.0,OH0131400,Region II,Midwest,OH,Ohio
12130,Brookfield Township Police Department,City,TRUMBULL,East North Central,41.229584,-80.56996,0.0,OH0781300,Region II,Midwest,OH,Ohio
12131,Lake Township Police Department,City,WOOD,East North Central,41.576626,-83.473526,0.0,OH0873000,Region II,Midwest,OH,Ohio
12132,Kalida Police Department,City,PUTNAM,East North Central,41.024533,-84.129879,1.0,OH0691600,Region II,Midwest,OH,Ohio
12133,Somerset Police Department,City,PERRY,East North Central,39.743187,-82.237952,1.0,OH0641100,Region II,Midwest,OH,Ohio
12134,Mifflin Police Department,City,ASHLAND,East North Central,40.77408,-82.363625,0.0,OH0030800,Region II,Midwest,OH,Ohio
