,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,ori,region_desc,region_name,state_abbr,state_name
0,Hawaii Police Department County Sheriff's Office,County,HAWAII,Pacific,19.716698,-155.08688,0.0,HI0010000,Region IV,West,HI,Hawaii
1,Maui Police Department County Sheriff's Office,County,MAUI,Pacific,20.887321,-156.48763,0.0,HI0050000,Region IV,West,HI,Hawaii
2,Honolulu Police Department,City,HONOLULU,Pacific,21.304317,-157.85077,0.0,HI0020000,Region IV,West,HI,Hawaii
3,Kauai Police Department County Sheriff's Office,County,KAUAI,Pacific,22.012038,-159.705965,0.0,HI0040000,Region IV,West,HI,Hawaii
4,Milford Police Department,City,KENT; SUSSEX,South Atlantic,38.91612,-75.42161,1.0,DE0030500,Region III,South,DE,Delaware
5,Laurel Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0030300,Region III,South,DE,Delaware
6,Dover Fire Marshal,Other,KENT,South Atlantic,,,1.0,DE0011900,Region III,South,DE,Delaware
7,Bridgeville Police Department,City,SUSSEX,South Atlantic,38.744175,-75.599144,1.0,DE0030100,Region III,South,DE,Delaware
8,Dewey Beach Police Department,City,SUSSEX,South Atlantic,38.709568,-75.078224,1.0,DE0032400,Region III,South,DE,Delaware
9,Blades Police Department,City,SUSSEX,South Atlantic,38.633743,-75.6098,1.0,DE0030900,Region III,South,DE,Delaware
10,Environmental Control,Other State Agency,KENT,South Atlantic,39.164383,-75.51842,1.0,DE0011700,Region III,South,DE,Delaware
11,State Police: Kent County,State Police,KENT,South Atlantic,39.097088,-75.502982,1.0,DE301SP00,Region III,South,DE,Delaware
12,Rehoboth Beach Police Department,City,SUSSEX,South Atlantic,38.715996,-75.08348,1.0,DE0030700,Region III,South,DE,Delaware
13,Elsmere Police Department,City,NEW CASTLE,South Atlantic,39.739624,-75.60179,1.0,DE0020700,Region III,South,DE,Delaware
14,Delaware City Police Department,City,NEW CASTLE,South Atlantic,39.57391,-75.59376,1.0,DE0020900,Region III,South,DE,Delaware
15,Delaware State University,University or College,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0013200,Region III,South,DE,Delaware
16,River and Bay Authority,Other State Agency,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020100,Region III,South,DE,Delaware
17,New Castle County Police Department,County,NEW CASTLE,South Atlantic,39.707096,-75.56667,1.0,DE0020300,Region III,South,DE,Delaware
18,Wilmington Fire Department,Other,NEW CASTLE,South Atlantic,39.73873,-75.548965,0.0,DE0022600,Region III,South,DE,Delaware
19,Newark Police Department,City,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020500,Region III,South,DE,Delaware
20,South Bethany Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031800,Region III,South,DE,Delaware
21,Frederica Police Department,City,KENT,South Atlantic,39.097088,-75.502982,0.0,DE0010800,Region III,South,DE,Delaware
22,State Police,State Police,,South Atlantic,39.156284,-75.486595,1.0,DEDSP0000,Region III,South,DE,Delaware
23,Bethany Beach Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031000,Region III,South,DE,Delaware
24,Amtrak Police,Other,NEW CASTLE,South Atlantic,,,1.0,DE002159E,Region III,South,DE,Delaware
25,Harrington Police Department,City,KENT,South Atlantic,38.924095,-75.57957,1.0,DE0010200,Region III,South,DE,Delaware
26,Fenwick Island Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031200,Region III,South,DE,Delaware
27,Greenwood Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031400,Region III,South,DE,Delaware
28,Park Rangers,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0012300,Region III,South,DE,Delaware
29,Clayton Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0010600,Region III,South,DE,Delaware
30,Animal Welfare:,Other State Agency,KENT,South Atlantic,,,1.0,DE001500X,Region III,South,DE,Delaware
31,Selbyville Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031600,Region III,South,DE,Delaware
32,Camden Police Department,City,KENT,South Atlantic,39.11345,-75.54225,1.0,DE0010400,Region III,South,DE,Delaware
33,Alcohol and Tobacco Enforcement,Other State Agency,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0021600,Region III,South,DE,Delaware
34,Lewes Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0030400,Region III,South,DE,Delaware
35,Delmar Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0030200,Region III,South,DE,Delaware
36,Attorney General: Sussex County,Other State Agency,SUSSEX,South Atlantic,38.690628,-75.385086,0.0,DE003350X,Region III,South,DE,Delaware
37,Annimal Welfare:,Other State Agency,SUSSEX,South Atlantic,,,1.0,DE003500X,Region III,South,DE,Delaware
38,Viola Police Department,City,KENT,South Atlantic,,,0.0,DE0013300,Region III,South,DE,Delaware
39,State Capitol Police,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0011800,Region III,South,DE,Delaware
40,Seaford Police Department,City,SUSSEX,South Atlantic,38.65286,-75.61424,1.0,DE0030800,Region III,South,DE,Delaware
41,Milton Police Department,City,SUSSEX,South Atlantic,38.77769,-75.31031,1.0,DE0030600,Region III,South,DE,Delaware
42,Newport Police Department,City,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020800,Region III,South,DE,Delaware
43,Wyoming Police Department,City,KENT,South Atlantic,39.118744,-75.55912,1.0,DE0013100,Region III,South,DE,Delaware
44,Middletown Police Department,City,NEW CASTLE,South Atlantic,39.44838,-75.71802,1.0,DE0020200,Region III,South,DE,Delaware
45,New Castle Police Department,City,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE0020400,Region III,South,DE,Delaware
46,Wilmington Police Department,City,NEW CASTLE,South Atlantic,39.73873,-75.548965,1.0,DE0020600,Region III,South,DE,Delaware
47,Animal Welfare:,Other State Agency,NEW CASTLE,South Atlantic,,,1.0,DE002500X,Region III,South,DE,Delaware
48,Ocean View Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031700,Region III,South,DE,Delaware
49,Frankford Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031900,Region III,South,DE,Delaware
50,Kenton Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0010900,Region III,South,DE,Delaware
51,State Police: Sussex County,State Police,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE303SP00,Region III,South,DE,Delaware
52,Cheswold Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0012600,Region III,South,DE,Delaware
53,Smyrna Police Department,City,NEW CASTLE; KENT,South Atlantic,39.300205,-75.61435,1.0,DE0010300,Region III,South,DE,Delaware
54,Attorney General: Kent County,Other State Agency,KENT,South Atlantic,39.154705,-75.52337,0.0,DE001300X,Region III,South,DE,Delaware
55,Dagsboro Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031100,Region III,South,DE,Delaware
56,Dover Police Department,City,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0010100,Region III,South,DE,Delaware
57,Georgetown Police Department,City,SUSSEX,South Atlantic,38.694782,-75.3895,1.0,DE0031300,Region III,South,DE,Delaware
58,Fish and Wildlife,Other State Agency,KENT,South Atlantic,39.097088,-75.502982,1.0,DE0012200,Region III,South,DE,Delaware
59,Felton Police Department,City,KENT,South Atlantic,39.01094,-75.57476,1.0,DE0010700,Region III,South,DE,Delaware
60,Millsboro Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0031500,Region III,South,DE,Delaware
61,State Fire Marshal,Other State Agency,KENT,South Atlantic,39.168213,-75.588066,1.0,DE0012000,Region III,South,DE,Delaware
62,Attorney General: New Castle County,Other State Agency,NEW CASTLE,South Atlantic,39.742977,-75.547295,1.0,DE0029Z0X,Region III,South,DE,Delaware
63,Ellendale Police Department,City,SUSSEX,South Atlantic,38.677511,-75.335495,1.0,DE0033000,Region III,South,DE,Delaware
64,State Police: New Castle County,State Police,NEW CASTLE,South Atlantic,39.575915,-75.644132,1.0,DE302SP00,Region III,South,DE,Delaware
65,University of Delaware,University or College,NEW CASTLE,South Atlantic,39.67637,-75.75021,1.0,DE0021700,Region III,South,DE,Delaware
66,Puerto Rico ,Other,,U.S. Territories,,,0.0,PRPPR0000,U.S. Territories,U.S. Territories,PR,Puerto Rico
67,Washington County Sheriff's Office,County,WASHINGTON,West South Central,30.17912,-96.388176,0.0,TX2390000,Region III,South,TX,Texas
68,Alvin Community College,University or College,BRAZORIA,West South Central,29.167817,-95.434647,0.0,TX0201700,Region III,South,TX,Texas
69,Edwards County Sheriff's Office,County,EDWARDS,West South Central,29.985877,-100.307373,0.0,TX0690000,Region III,South,TX,Texas
70,Seabrook Police Department,City,HARRIS,West South Central,29.564535,-95.02338,0.0,TX1011700,Region III,South,TX,Texas
71,Milam County Sheriff's Office,County,MILAM,West South Central,30.85512,-96.98046,0.0,TX1660000,Region III,South,TX,Texas
72,Marion County Sheriff's Office,County,MARION,West South Central,32.798182,-94.356853,0.0,TX1580000,Region III,South,TX,Texas
73,Wilson County Sheriff's Office,County,WILSON,West South Central,29.173883,-98.086734,0.0,TX2470000,Region III,South,TX,Texas
74,Double Oak Police Department,City,DENTON,West South Central,33.062622,-97.095955,0.0,TX0612500,Region III,South,TX,Texas
75,Dickinson Police Department,City,GALVESTON,West South Central,29.462942,-95.05215,0.0,TX0840200,Region III,South,TX,Texas
76,Independent School District: Spring Branch,Other,HARRIS,West South Central,29.798367,-95.51263,0.0,TX1017000,Region III,South,TX,Texas
77,Surfside Beach Police Department,City,BRAZORIA,West South Central,28.944168,-95.297905,0.0,TX0202800,Region III,South,TX,Texas
78,Point Comfort Police Department,City,CALHOUN,West South Central,28.445366,-96.5833,0.0,TX0290100,Region III,South,TX,Texas
79,Odessa Police Department,City,MIDLAND; ECTOR,West South Central,31.845774,-102.36773,0.0,TX0680200,Region III,South,TX,Texas
80,Columbus Police Department,City,COLORADO,West South Central,29.595991,-96.508433,0.0,TX0450100,Region III,South,TX,Texas
81,Nassau Bay Police Department,City,HARRIS,West South Central,29.857273,-95.393037,0.0,TX1012800,Region III,South,TX,Texas
82,Georgetown Police Department,City,WILLIAMSON,West South Central,30.636448,-97.680916,1.0,TX2460200,Region III,South,TX,Texas
83,Orange Police Department,City,ORANGE,West South Central,30.120918,-93.893358,0.0,TX1810200,Region III,South,TX,Texas
84,Indian Lake Police Department,City,CAMERON,West South Central,26.102923,-97.478958,1.0,TX0313300,Region III,South,TX,Texas
85,Palo Pinto County Sheriff's Office,County,PALO PINTO,West South Central,32.75221,-98.317974,0.0,TX1820000,Region III,South,TX,Texas
86,Itasca Police Department,City,HILL,West South Central,32.159992,-97.15036,0.0,TX1090300,Region III,South,TX,Texas
87,Selma Police Department,City,COMAL; GUADALUPE; BEXAR,West South Central,29.448671,-98.520147,0.0,TX0152200,Region III,South,TX,Texas
88,Independent School District:,Other,BASTROP,West South Central,,,0.0,TX0110800,Region III,South,TX,Texas
89,Brownfield Police Department,City,TERRY,West South Central,33.171229,-102.339284,0.0,TX2230100,Region III,South,TX,Texas
90,Murphy Police Department,City,COLLIN,West South Central,33.016426,-96.612785,1.0,TX0431800,Region III,South,TX,Texas
91,Elsa Police Department,City,HIDALGO,West South Central,26.396384,-98.18099,1.0,TX1080500,Region III,South,TX,Texas
92,Ranger Police Department,City,EASTLAND,West South Central,32.471584,-98.683,0.0,TX0670400,Region III,South,TX,Texas
93,Aubrey Police Department,City,DENTON,West South Central,33.304184,-96.98627,0.0,TX0611400,Region III,South,TX,Texas
94,Alvarado Police Department,City,JOHNSON,West South Central,32.40696,-97.21228,0.0,TX1260100,Region III,South,TX,Texas
95,Garza County Sheriff's Office,County,GARZA,West South Central,33.198063,-101.382416,0.0,TX0850000,Region III,South,TX,Texas
96,Hospital District: Dallas County,Other,DALLAS,West South Central,32.812763,-96.838455,0.0,TX0575000,Region III,South,TX,Texas
97,Desoto Police Department,City,DALLAS,West South Central,32.766987,-96.778424,0.0,TX0570800,Region III,South,TX,Texas
98,Taft Police Department,City,SAN PATRICIO,West South Central,27.981573,-97.39302,0.0,TX2050500,Region III,South,TX,Texas
99,Moulton Police Department,City,LAVACA,West South Central,29.382578,-96.923633,0.0,TX1431000,Region III,South,TX,Texas
100,Mart Police Department,City,LIMESTONE; MCLENNAN,West South Central,31.549493,-97.201472,0.0,TX1550800,Region III,South,TX,Texas
101,Ingram Police Department,City,KERR,West South Central,30.07363,-99.23886,0.0,TX1330500,Region III,South,TX,Texas
102,Hartley County Sheriff's Office,County,HARTLEY,West South Central,35.840244,-102.610047,0.0,TX1030000,Region III,South,TX,Texas
103,Patton Village Police Department,City,MONTGOMERY,West South Central,30.299402,-95.504008,0.0,TX1700800,Region III,South,TX,Texas
104,Caney City Police Department,City,HENDERSON,West South Central,32.211633,-95.853418,0.0,TX1070900,Region III,South,TX,Texas
105,Granite Shoals Police Department,City,BURNET,West South Central,30.590641,-98.38533,0.0,TX0270700,Region III,South,TX,Texas
106,College Station Police Department,City,BRAZOS,West South Central,30.656725,-96.302389,0.0,TX0210200,Region III,South,TX,Texas
107,University of Texas: Tyler,University or College,SMITH,West South Central,32.31339,-95.244896,0.0,TX2120900,Region III,South,TX,Texas
108,Llano Police Department,City,LLANO,West South Central,30.750307,-98.67835,0.0,TX1500100,Region III,South,TX,Texas
109,Port Arthur Police Department,City,ORANGE; JEFFERSON,West South Central,29.854,-94.149331,0.0,TX1230700,Region III,South,TX,Texas
110,Jackson County Sheriff's Office,County,JACKSON,West South Central,28.97839,-96.646736,1.0,TX1200000,Region III,South,TX,Texas
111,Euless Police Department,City,TARRANT,West South Central,32.77204,-97.291291,0.0,TX2200900,Region III,South,TX,Texas
112,South Plains College,University or College,HOCKLEY,West South Central,33.578476,-102.3678,0.0,TX1100400,Region III,South,TX,Texas
113,McKinney Police Department,City,COLLIN,West South Central,33.194745,-96.579846,1.0,TX0430500,Region III,South,TX,Texas
114,Bell County Sheriff's Office,County,BELL,West South Central,31.042303,-97.481374,0.0,TX0140000,Region III,South,TX,Texas
115,Ore City Police Department,City,UPSHUR,West South Central,32.735349,-94.941184,0.0,TX2300300,Region III,South,TX,Texas
116,Sherman Police Department,City,GRAYSON,West South Central,33.624508,-96.675699,0.0,TX0910400,Region III,South,TX,Texas
117,Brewster County Sheriff's Office,County,BREWSTER,West South Central,29.434357,-95.24559,1.0,TX0220000,Region III,South,TX,Texas
118,Marshall Police Department,City,HARRISON,West South Central,32.547991,-94.374434,0.0,TX1020200,Region III,South,TX,Texas
119,Cuney Police Department,City,CHEROKEE,West South Central,31.843872,-95.156345,0.0,TX0371200,Region III,South,TX,Texas
120,Cameron County Sheriff's Office,County,CAMERON,West South Central,26.102923,-97.478958,0.0,TX0310000,Region III,South,TX,Texas
121,Gladewater Police Department,City,UPSHUR; GREGG,West South Central,32.531593,-94.94975,0.0,TX0920200,Region III,South,TX,Texas
122,Crosbyton Police Department,City,CROSBY,West South Central,33.659977,-101.239655,1.0,TX0540100,Region III,South,TX,Texas
123,Deer Park Police Department,City,HARRIS,West South Central,29.857273,-95.393037,0.0,TX1010400,Region III,South,TX,Texas
124,Hopkins County Sheriff's Office,County,HOPKINS,West South Central,33.139645,-95.59928,0.0,TX1120000,Region III,South,TX,Texas
125,Nacogdoches County Sheriff's Office,County,NACOGDOCHES,West South Central,31.610912,-94.68126,1.0,TX1740000,Region III,South,TX,Texas
126,University of Houston: Clearlake,University or College,HARRIS,West South Central,29.577593,-95.106766,0.0,TX1013900,Region III,South,TX,Texas
127,Grimes County Sheriff's Office,County,GRIMES,West South Central,30.543231,-95.988082,0.0,TX0930000,Region III,South,TX,Texas
128,Holland Police Department,City,BELL,West South Central,31.042303,-97.481374,0.0,TX0141100,Region III,South,TX,Texas
129,Waxahachie Police Department,City,ELLIS,West South Central,32.38487,-96.84779,0.0,TX0701000,Region III,South,TX,Texas
130,Jacksonville Police Department,City,CHEROKEE,West South Central,31.843872,-95.156345,1.0,TX0370100,Region III,South,TX,Texas
131,Danbury Police Department,City,BRAZORIA,West South Central,29.167817,-95.434647,0.0,TX0200400,Region III,South,TX,Texas
132,Randall County Sheriff's Office,County,RANDALL,West South Central,35.119816,-101.86604,0.0,TX1910000,Region III,South,TX,Texas
133,Navarro County Sheriff's Office,County,NAVARRO,West South Central,32.09607,-96.46836,0.0,TX1750000,Region III,South,TX,Texas
134,Martin County Sheriff's Office,County,MARTIN,West South Central,32.30983,-101.961836,0.0,TX1590000,Region III,South,TX,Texas
135,Winkler County Sheriff's Office,County,WINKLER,West South Central,31.831415,-103.055986,0.0,TX2480000,Region III,South,TX,Texas
136,South Houston Police Department,City,HARRIS,West South Central,29.857273,-95.393037,0.0,TX1011900,Region III,South,TX,Texas
137,Colleyville Police Department,City,TARRANT,West South Central,32.88482,-97.14835,0.0,TX2204000,Region III,South,TX,Texas
138,Refugio Police Department,City,REFUGIO,West South Central,28.312716,-97.161366,0.0,TX1960100,Region III,South,TX,Texas
139,Gillespie County Sheriff's Office,County,GILLESPIE,West South Central,30.250408,-98.847885,0.0,TX0860000,Region III,South,TX,Texas
140,Snyder Police Department,City,SCURRY,West South Central,32.744462,-100.913399,0.0,TX2080100,Region III,South,TX,Texas
141,Jacksboro Police Department,City,JACK,West South Central,33.23241,-98.171884,0.0,TX1190100,Region III,South,TX,Texas
142,Independent School District: Brownsville,Other,CAMERON,West South Central,25.934692,-97.48412,0.0,TX0312400,Region III,South,TX,Texas
143,Ward County Sheriff's Office,County,WARD,West South Central,31.592508,-102.88987,0.0,TX2380000,Region III,South,TX,Texas
144,Independent School District: East Central,Other,BEXAR,West South Central,29.448671,-98.520147,0.0,TX0153500,Region III,South,TX,Texas
145,Poth Police Department,City,WILSON,West South Central,29.173883,-98.086734,0.0,TX2470200,Region III,South,TX,Texas
146,Orange County Sheriff's Office,County,ORANGE,West South Central,30.120918,-93.893358,0.0,TX1810000,Region III,South,TX,Texas
147,Hallettsville Police Department,City,LAVACA,West South Central,29.443789,-96.94298,0.0,TX1430100,Region III,South,TX,Texas
148,Galveston Police Department,City,GALVESTON,West South Central,29.29432,-94.828705,0.0,TX0840400,Region III,South,TX,Texas
149,Eastland Police Department,City,EASTLAND,West South Central,32.324645,-98.83656,0.0,TX0670200,Region III,South,TX,Texas
150,Seadrift Police Department,City,CALHOUN,West South Central,28.445366,-96.5833,0.0,TX0290300,Region III,South,TX,Texas
151,Hutto Police Department,City,WILLIAMSON,West South Central,30.542425,-97.54668,0.0,TX2460400,Region III,South,TX,Texas
152,Rusk County Sheriff's Office,County,RUSK,West South Central,32.154736,-94.80016,1.0,TX2010000,Region III,South,TX,Texas
153,Independent School District: Pasadena,Other,HARRIS,West South Central,29.677027,-95.19033,0.0,TX1017200,Region III,South,TX,Texas
154,Alice Police Department,City,JIM WELLS,West South Central,27.733516,-98.090814,0.0,TX1250100,Region III,South,TX,Texas
155,Weimar Police Department,City,COLORADO,West South Central,29.595991,-96.508433,0.0,TX0450300,Region III,South,TX,Texas
156,Ector County Sheriff's Office,County,ECTOR,West South Central,31.865301,-102.542507,0.0,TX0680000,Region III,South,TX,Texas
157,Midland County Sheriff's Office,County,MIDLAND,West South Central,31.870896,-102.024326,0.0,TX1650000,Region III,South,TX,Texas
158,Hillsboro Police Department,City,HILL,West South Central,31.982681,-97.130668,0.0,TX1090100,Region III,South,TX,Texas
159,Haskell County Sheriff's Office,County,HASKELL,West South Central,33.175965,-99.730773,0.0,TX1040000,Region III,South,TX,Texas
160,Edcouch Police Department,City,HIDALGO,West South Central,26.396384,-98.18099,1.0,TX1080300,Region III,South,TX,Texas
161,Southern Methodist University,University or College,DALLAS,West South Central,32.766987,-96.778424,0.0,TX0575200,Region III,South,TX,Texas
162,New Braunfels Police Department,City,GUADALUPE; COMAL,West South Central,29.692354,-98.11035,0.0,TX0460100,Region III,South,TX,Texas
163,Rio Bravo Police Department,City,WEBB,West South Central,27.770584,-99.326641,1.0,TX2401000,Region III,South,TX,Texas
164,Caddo Mills Police Department,City,HUNT,West South Central,33.123292,-96.084202,0.0,TX1160700,Region III,South,TX,Texas
165,Belton Police Department,City,BELL,West South Central,31.042303,-97.481374,0.0,TX0140200,Region III,South,TX,Texas
166,Brazos County Sheriff's Office,County,BRAZOS,West South Central,30.687794,-96.3732,0.0,TX0210000,Region III,South,TX,Texas
167,Tatum Police Department,City,PANOLA; RUSK,West South Central,32.109423,-94.756382,0.0,TX2011100,Region III,South,TX,Texas
168,Sudan Police Department,City,LAMB,West South Central,34.068861,-102.348018,0.0,TX1400500,Region III,South,TX,Texas
169,Lorena Police Department,City,MCLENNAN,West South Central,31.549493,-97.201472,0.0,TX1550600,Region III,South,TX,Texas
170,Denison Police Department,City,GRAYSON,West South Central,33.624508,-96.675699,0.0,TX0910200,Region III,South,TX,Texas
171,Riesel Police Department,City,MCLENNAN,West South Central,31.549493,-97.201472,0.0,TX1551700,Region III,South,TX,Texas
172,Olmos Park Police Department,City,BEXAR,West South Central,29.471867,-98.4906,0.0,TX0151100,Region III,South,TX,Texas
173,Nederland Police Department,City,JEFFERSON,West South Central,29.854,-94.149331,0.0,TX1230500,Region III,South,TX,Texas
174,Ganado Police Department,City,JACKSON,West South Central,28.959802,-96.58908,0.0,TX1200200,Region III,South,TX,Texas
175,Sunset Valley Police Department,City,TRAVIS,West South Central,30.239513,-97.69127,1.0,TX2271900,Region III,South,TX,Texas
176,Runnels County Sheriff's Office,County,RUNNELS,West South Central,31.738207,-99.94529,0.0,TX2000000,Region III,South,TX,Texas
177,Lake Dallas Police Department,City,DENTON,West South Central,33.205005,-97.119046,0.0,TX0610500,Region III,South,TX,Texas
178,Weslaco Police Department,City,HIDALGO,West South Central,26.17173,-97.974785,0.0,TX1081400,Region III,South,TX,Texas
179,Ennis Police Department,City,ELLIS,West South Central,32.347294,-96.798231,0.0,TX0700100,Region III,South,TX,Texas
180,Prosper Police Department,City,DENTON; COLLIN,West South Central,33.194745,-96.579846,0.0,TX0430700,Region III,South,TX,Texas
181,Combes Police Department,City,CAMERON,West South Central,26.102923,-97.478958,0.0,TX0310200,Region III,South,TX,Texas
182,Venus Police Department,City,ELLIS; JOHNSON,West South Central,32.379784,-97.364952,0.0,TX1261200,Region III,South,TX,Texas
183,Hood County Sheriff's Office,County,HOOD,West South Central,32.430149,-97.831677,0.0,TX1110000,Region III,South,TX,Texas
184,Breckenridge Police Department,City,STEPHENS,West South Central,32.756283,-98.90226,0.0,TX2150100,Region III,South,TX,Texas
185,Prairie View  Police Department,City,WALLER,West South Central,30.013578,-95.982102,0.0,TX2370800,Region III,South,TX,Texas
186,Independent School District: Sealy,Other,AUSTIN,West South Central,29.772886,-96.15974,0.0,TX0080900,Region III,South,TX,Texas
187,Gregg County Sheriff's Office,County,GREGG,West South Central,32.486397,-94.816276,0.0,TX0920000,Region III,South,TX,Texas
188,Galena Park Police Department,City,HARRIS,West South Central,29.857273,-95.393037,0.0,TX1010600,Region III,South,TX,Texas
189,Camp County Sheriff's Office,County,CAMP,West South Central,32.995636,-94.9661,0.0,TX0320000,Region III,South,TX,Texas
190,Roma Police Department,City,STARR,West South Central,26.546335,-98.715803,0.0,TX2140300,Region III,South,TX,Texas
191,Stinnett Police Department,City,HUTCHINSON,West South Central,35.837047,-101.362746,0.0,TX1170500,Region III,South,TX,Texas
192,Flatonia Police Department,City,FAYETTE,West South Central,29.877886,-96.921231,0.0,TX0750800,Region III,South,TX,Texas
193,Bexar County Sheriff's Office,County,BEXAR,West South Central,29.429178,-98.50717,0.0,TX0150000,Region III,South,TX,Texas
194,Nacogdoches Police Department,City,NACOGDOCHES,West South Central,31.62056,-94.62025,1.0,TX1740200,Region III,South,TX,Texas
195,Angleton Police Department,City,BRAZORIA,West South Central,29.182587,-95.432724,0.0,TX0200200,Region III,South,TX,Texas
196,Paris Junior College,University or College,LAMAR,West South Central,33.667263,-95.570348,0.0,TX1390400,Region III,South,TX,Texas
197,Zavala County Sheriff's Office,County,ZAVALA,West South Central,28.679815,-99.82764,1.0,TX2540000,Region III,South,TX,Texas
198,Independent School District: Edinburg,Other,HIDALGO,West South Central,26.306498,-98.14821,0.0,TX1082500,Region III,South,TX,Texas
199,South Padre Island Police Department,City,CAMERON,West South Central,26.102923,-97.478958,0.0,TX0311300,Region III,South,TX,Texas
200,Uvalde Police Department,City,UVALDE,West South Central,29.35034,-99.761074,0.0,TX2320100,Region III,South,TX,Texas
201,University of Texas: Dallas,University or College,DALLAS,West South Central,32.766987,-96.778424,0.0,TX0572800,Region III,South,TX,Texas
202,Hale County Sheriff's Office,County,HALE,West South Central,34.1599,-101.70848,0.0,TX0950000,Region III,South,TX,Texas
203,Fairview Police Department,City,COLLIN,West South Central,33.194745,-96.579846,0.0,TX0432500,Region III,South,TX,Texas
204,La Porte Police Department,City,HARRIS,West South Central,29.857273,-95.393037,0.0,TX1011300,Region III,South,TX,Texas
205,Westover Hills Police Department,City,TARRANT,West South Central,32.73811,-97.41003,0.0,TX2202700,Region III,South,TX,Texas
206,Mitchell County Sheriff's Office,County,MITCHELL,West South Central,32.390095,-100.86947,0.0,TX1680000,Region III,South,TX,Texas
207,Mount Pleasant Police Department,City,TITUS,West South Central,33.214599,-94.966783,0.0,TX2250100,Region III,South,TX,Texas
208,Glasscock County Sheriff's Office,County,GLASSCOCK,West South Central,31.868006,-101.521494,0.0,TX0870000,Region III,South,TX,Texas
209,Roanoke Police Department,City,DENTON,West South Central,33.00069,-97.22178,0.0,TX0612900,Region III,South,TX,Texas
210,Yoakum Police Department,City,DEWITT; LAVACA,West South Central,29.382578,-96.923633,0.0,TX1430300,Region III,South,TX,Texas
211,Brooks County Sheriff's Office,County,BROOKS,West South Central,27.034994,-98.215276,0.0,TX0240000,Region III,South,TX,Texas
212,Sabine County Sheriff's Office,County,SABINE,West South Central,31.3433,-93.851913,0.0,TX2020000,Region III,South,TX,Texas
213,Kemah Police Department,City,GALVESTON,West South Central,29.531988,-95.01457,0.0,TX0840600,Region III,South,TX,Texas
214,Eastland County Sheriff's Office,County,EASTLAND,West South Central,32.402565,-98.81908,0.0,TX0670000,Region III,South,TX,Texas
215,Memorial Villages Police Department,City,HARRIS,West South Central,29.763218,-95.538185,0.0,TX1012400,Region III,South,TX,Texas
216,Hurst Police Department,City,TARRANT,West South Central,32.77204,-97.291291,0.0,TX2201600,Region III,South,TX,Texas
217,Giddings Police Department,City,LEE,West South Central,30.18012,-96.937515,0.0,TX1440100,Region III,South,TX,Texas
218,Lone Star College System District ,University or College,HARRIS,West South Central,30.201002,-95.510475,0.0,TX1015900,Region III,South,TX,Texas
219,Willacy County Sheriff's Office,County,WILLACY,West South Central,26.47072,-97.76458,0.0,TX2450000,Region III,South,TX,Texas
220,Mercedes Police Department,City,HIDALGO,West South Central,26.14871,-97.91219,0.0,TX1080900,Region III,South,TX,Texas
221,Independent School District: Corpus Christi,Other,NUECES,West South Central,27.7938,-97.457306,0.0,TX1781600,Region III,South,TX,Texas
222,Crane Police Department,City,CRANE,West South Central,31.397306,-102.35043,0.0,TX0520100,Region III,South,TX,Texas
223,Allen Police Department,City,COLLIN,West South Central,33.101547,-96.67242,0.0,TX0430100,Region III,South,TX,Texas
224,Killeen Police Department,City,BELL,West South Central,31.042303,-97.481374,0.0,TX0140400,Region III,South,TX,Texas
225,Carrollton Police Department,City,COLLIN; DALLAS; DENTON,West South Central,32.766987,-96.778424,0.0,TX0570400,Region III,South,TX,Texas
226,Hockley County Sheriff's Office,County,HOCKLEY,West South Central,33.57934,-102.37784,0.0,TX1100000,Region III,South,TX,Texas
